# histogram parameters
#\ dx = 10.0
#\ dy = 0.04
#\ nx = 19
#\ ny = 40
#\ xmin = 0.0
#\ ymin = -0.02
# averaged kinematics results
# averaged kinematic varibles used as input to calculate the averaged
# kinematics: Ei, omega, th_e, pf
#
# variables with _mc attached are from histograms not calculated
# alpha is the spectatror (neutron) alpha
#\ xb = th_nq
#\ yb = pm
# current header line:
i_b,i_x,i_y,xb,yb,Ei,kf,th_e,omega,Q2_calc,q_lab,Ep_calc,pf,pm_mc,pm,En_calc,beta_cm,gamma_cm,PfPar_q,PfPerp_q,theta_pq,theta_pq_calc,PfPar_cm,th_pq_cm,th_nq_mc,th_nq_calc,cos_phi,sin_phi,alpha_c,nx,ny,cont,kin,crs0,crs12,ratio,
232,1,11,5.0,0.4,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
253,1,12,5.0,0.44,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
274,1,13,5.0,0.48,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
295,1,14,5.0,0.52,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
316,1,15,5.0,0.56,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
337,1,16,5.0,0.6,21999.998,18450.68,9.197,3549.318,10436004.999,4799.34,4311.175,4207.835,599.817,598.048,1113.753,0.885,2.145,4207.024,82.606,1.266,1.125,843.002,5.597,8.917,7.939,-0.996,-0.044,0.555,19,40,0.00033,thrq48,0.00417291326,0.00317256059,0.760274768,
358,1,17,5.0,0.64,21999.998,18436.333,9.236,3563.665,10516832.442,4818.355,4289.023,4185.136,641.477,663.549,1150.253,0.886,2.155,4181.055,184.784,1.301,2.531,822.544,12.661,8.518,16.169,-0.943,-0.018,0.546,19,40,0.0006675,thrq48,0.00272411737,0.00194568478,0.714244127,
379,1,18,5.0,0.68,22000.002,18400.867,9.373,3599.134,10809881.016,4874.797,4308.952,4205.557,678.192,690.136,1165.792,0.89,2.197,4202.644,156.517,1.377,2.133,803.883,11.018,8.58,13.108,-0.916,-0.077,0.525,19,40,0.0009633,thrq48,0.00198831921,0.0013979451,0.703078806,
400,1,19,5.0,0.72,22000.002,18356.915,9.477,3643.087,11024723.466,4929.179,4324.891,4221.887,715.242,736.47,1193.806,0.893,2.224,4217.614,189.903,1.302,2.578,788.778,13.537,7.725,14.943,-0.916,-0.044,0.513,19,40,0.0004683,thrq48,0.00132362894,0.000941611885,0.711386621,
421,1,20,5.0,0.76,22000.002,18354.713,9.586,3645.288,11277561.302,4956.379,4308.89,4205.493,759.734,765.625,1212.009,0.898,2.27,4203.239,137.7,1.41,1.876,760.347,10.265,7.841,10.361,-0.906,-0.086,0.488,19,40,0.0008872,thrq48,0.000959968718,0.000605596986,0.630850732,
442,1,21,5.0,0.8,21999.998,18314.659,9.681,3685.339,11476332.755,5005.802,4320.689,4217.582,798.54,809.605,1240.26,0.9,2.296,4214.169,169.639,1.562,2.305,745.773,12.815,8.277,12.095,-0.909,-0.07,0.477,19,40,0.000706,thrq48,0.000644431042,0.00038139947,0.591839075,
463,1,22,5.0,0.84,21999.998,18282.122,9.783,3717.876,11696430.391,5051.637,4329.169,4226.269,837.603,845.999,1264.317,0.903,2.329,4222.856,169.813,1.756,2.303,729.115,13.111,8.899,11.579,-0.89,0.178,0.464,19,40,0.0005772,thrq48,0.000445546844,0.000248683937,0.558154404,
484,1,23,5.0,0.88,22000.004,18226.324,9.929,3773.68,12012751.594,5123.808,4358.735,4256.549,879.232,884.731,1290.555,0.907,2.374,4253.562,159.438,1.762,2.147,712.935,12.606,8.562,10.382,-0.921,0.066,0.447,19,40,0.0003722,thrq48,0.000290225697,0.000151303757,0.52133137,
505,1,24,5.0,0.92,21999.998,18211.922,9.992,3788.076,12154863.138,5148.241,4344.941,4242.424,918.781,925.368,1318.745,0.909,2.399,4238.947,171.723,1.866,2.32,694.393,13.891,8.654,10.695,-0.892,-0.069,0.436,19,40,0.0003661,thrq48,0.000196298628,9.31072791e-05,0.474314481,
526,1,25,5.0,0.96,22000.0,18191.141,10.062,3808.859,12310094.783,5178.562,4335.93,4233.195,957.498,967.353,1348.538,0.911,2.425,4229.135,185.364,1.824,2.51,676.752,15.318,8.093,11.047,-0.918,-0.079,0.425,19,40,0.0002844,thrq48,0.000129520675,5.47709496e-05,0.422874182,
547,1,26,5.0,1.0,21999.998,18157.953,10.167,3842.045,12545402.048,5225.582,4344.268,4241.734,996.727,1001.703,1373.387,0.914,2.464,4238.342,169.601,1.915,2.292,660.214,14.407,8.182,9.748,-0.879,-0.052,0.411,19,40,0.0001715,thrq48,8.66534465e-05,3.32538111e-05,0.383756369,
568,1,27,5.0,1.04,22000.0,18152.645,10.222,3847.355,12676782.795,5242.034,4323.231,4220.186,1035.702,1037.531,1399.734,0.916,2.492,4217.106,161.221,2.038,2.189,640.929,14.119,8.335,8.939,-0.883,0.025,0.399,19,40,0.0001083,thrq48,5.91050375e-05,2.01201747e-05,0.340413868,
589,1,28,5.0,1.08,22000.0,18141.048,10.285,3858.952,12826485.251,5264.788,4304.037,4200.521,1077.011,1078.711,1430.525,0.918,2.523,4197.581,157.122,1.976,2.144,620.922,14.2,7.732,8.375,-0.863,0.069,0.387,19,40,5.559e-05,thrq48,3.72233917e-05,1.07981414e-05,0.290090203,
610,1,29,5.0,1.12,22000.0,18101.084,10.363,3898.916,12990570.569,5309.625,4313.858,4210.584,1115.544,1118.377,1460.668,0.919,2.544,4206.547,184.349,2.293,2.509,610.496,16.803,8.691,9.488,-0.868,-0.004,0.381,19,40,2.449e-05,thrq48,2.30930236e-05,5.72919498e-06,0.248092026,
631,1,30,5.0,1.16,22000.0,18088.127,10.401,3911.873,13077517.509,5327.313,4296.913,4193.222,1152.141,1157.157,1490.569,0.92,2.559,4188.262,203.898,2.442,2.787,596.263,18.879,8.919,10.149,-0.93,0.193,0.374,19,40,2.995e-06,thrq48,1.4595832e-05,3.50142e-06,0.239891768,
652,1,31,5.0,1.2,21999.998,18054.18,10.545,3945.818,13416541.426,5383.867,4314.546,4211.288,1194.85,1178.096,1506.882,0.925,2.629,4210.084,100.716,2.763,1.37,577.96,9.885,9.783,4.904,-0.785,-0.099,0.355,19,40,7.375e-07,thrq48,9.95208211e-06,4.86326462e-06,0.488668054,
673,1,32,5.0,1.24,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
694,1,33,5.0,1.28,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
715,1,34,5.0,1.32,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
736,1,35,5.0,1.36,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
757,1,36,5.0,1.4,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
778,1,37,5.0,1.44,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
799,1,38,5.0,1.48,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
820,1,39,5.0,1.52,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
841,1,40,5.0,1.56,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
23,2,1,15.0,0.0,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
44,2,2,15.0,0.04,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
65,2,3,15.0,0.08,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
86,2,4,15.0,0.12,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
107,2,5,15.0,0.16,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
128,2,6,15.0,0.2,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
149,2,7,15.0,0.24,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
170,2,8,15.0,0.28,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
191,2,9,15.0,0.32,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
212,2,10,15.0,0.36,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
233,2,11,15.0,0.4,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
254,2,12,15.0,0.44,22000.0,18508.492,8.725,3491.508,9424368.537,4649.193,4334.923,4232.163,441.527,427.367,1032.195,0.866,2.001,4231.225,89.131,1.873,1.207,953.009,5.343,18.261,12.038,-0.998,-0.067,0.654,19,40,0.0007677,thrq48,0.0203006193,0.0173077937,0.852574646,
275,2,13,15.0,0.48,22000.002,18499.706,8.778,3500.296,9534026.38,4667.558,4314.008,4210.738,484.311,494.815,1061.897,0.868,2.016,4206.864,180.565,2.069,2.458,929.728,10.991,18.313,21.402,-0.951,-0.07,0.64,19,40,0.00697,thrq48,0.0124370987,0.0102346102,0.822909772,
296,2,14,15.0,0.52,21999.996,18479.492,8.898,3520.504,9785468.66,4709.503,4315.035,4211.79,524.882,534.741,1081.079,0.873,2.049,4207.731,184.858,2.135,2.516,904.94,11.545,17.4,20.224,-0.947,0.036,0.617,19,40,0.008015,thrq48,0.00858982187,0.00681258272,0.793099403,
317,2,15,15.0,0.56,21999.998,18434.935,9.024,3565.063,10039152.794,4769.573,4343.147,4240.586,557.677,567.257,1097.526,0.877,2.078,4236.188,193.081,2.225,2.61,891.165,12.225,17.193,19.9,-0.927,-0.037,0.6,19,40,0.01513,thrq48,0.00620611105,0.00477742078,0.769792974,
338,2,16,15.0,0.6,22000.0,18401.297,9.141,3598.703,10281267.261,4819.952,4352.008,4249.661,601.077,613.828,1122.305,0.88,2.109,4244.313,213.133,2.383,2.875,870.086,13.764,17.107,20.317,-0.913,0.031,0.582,19,40,0.02061,thrq48,0.00413578795,0.00308065652,0.744877756,
359,2,17,15.0,0.64,21999.994,18374.174,9.244,3625.82,10499300.563,4862.702,4357.93,4255.726,640.036,651.773,1143.5,0.884,2.138,4249.928,222.07,2.53,2.991,850.929,14.626,17.085,19.921,-0.902,0.023,0.565,19,40,0.02189,thrq48,0.00292983698,0.00210542697,0.71861577,
380,2,18,15.0,0.68,22000.008,18341.757,9.358,3658.251,10739330.828,4911.428,4367.211,4265.229,679.451,691.584,1166.65,0.888,2.17,4259.048,229.537,2.602,3.085,831.333,15.435,16.576,19.384,-0.904,-0.0,0.547,19,40,0.02173,thrq48,0.0020237905,0.00139834778,0.690954804,
401,2,19,15.0,0.72,22000.013,18316.145,9.456,3683.868,10950631.076,4951.921,4371.532,4269.653,718.044,726.933,1187.946,0.891,2.2,4263.298,232.875,2.761,3.127,812.878,15.986,16.656,18.684,-0.89,0.02,0.531,19,40,0.01877,thrq48,0.00144506188,0.000962623802,0.666147113,
422,2,20,15.0,0.76,22000.0,18276.205,9.568,3723.795,11186872.985,5005.349,4385.904,4284.367,758.969,767.985,1213.501,0.894,2.231,4277.376,244.653,2.896,3.274,795.945,17.086,16.593,18.576,-0.875,0.018,0.517,19,40,0.01605,thrq48,0.0009723244,0.000620538485,0.638201058,
443,2,21,15.0,0.8,22000.013,18238.205,9.674,3761.808,11411469.061,5055.954,4397.729,4296.471,800.473,808.731,1239.69,0.897,2.261,4288.833,256.07,3.075,3.417,779.303,18.19,16.75,18.459,-0.878,-0.011,0.503,19,40,0.01328,thrq48,0.000655018142,0.000376034848,0.57408309,
464,2,22,15.0,0.84,22000.0,18207.283,9.766,3792.717,11609693.905,5098.47,4402.614,4301.471,839.714,848.083,1265.713,0.899,2.288,4293.23,266.146,3.199,3.547,762.549,19.24,16.627,18.29,-0.866,0.038,0.49,19,40,0.01129,thrq48,0.000444975914,0.000239591871,0.538437843,
485,2,23,15.0,0.88,21999.989,18176.184,9.859,3823.805,11810205.635,5141.176,4407.999,4306.983,878.449,885.986,1291.416,0.902,2.317,4298.318,273.06,3.308,3.635,746.176,20.1,16.452,17.951,-0.869,0.026,0.477,19,40,0.008904,thrq48,0.000303508074,0.000151950764,0.500648201,
506,2,24,15.0,0.92,21999.992,18150.145,9.942,3849.848,11993490.713,5178.303,4405.657,4304.585,919.559,926.872,1319.801,0.904,2.344,4295.344,281.913,3.433,3.755,728.332,21.16,16.296,17.707,-0.866,0.021,0.465,19,40,0.006106,thrq48,0.000200690614,9.12362884e-05,0.454611629,
527,2,25,15.0,0.96,21999.99,18122.904,10.016,3877.087,12152085.686,5213.817,4405.39,4304.312,958.108,965.635,1347.307,0.906,2.366,4294.219,294.603,3.596,3.925,713.476,22.436,16.385,17.763,-0.857,-0.015,0.455,19,40,0.004367,thrq48,0.000134160669,5.45956245e-05,0.406942099,
548,2,26,15.0,1.0,21999.996,18103.474,10.08,3896.523,12295302.309,5241.964,4396.579,4295.294,998.319,1004.671,1375.554,0.908,2.389,4284.498,304.341,3.78,4.063,696.878,23.592,16.493,17.633,-0.857,-0.009,0.445,19,40,0.00285,thrq48,8.89589501e-05,3.19479514e-05,0.359131396,
569,2,27,15.0,1.04,21999.989,18082.565,10.143,3917.423,12433657.486,5270.661,4388.087,4286.602,1037.823,1044.552,1404.946,0.91,2.41,4274.96,315.705,3.921,4.224,680.885,24.876,16.428,17.592,-0.847,-0.011,0.436,19,40,0.00175,thrq48,5.73903635e-05,1.80077805e-05,0.313777089,
590,2,28,15.0,1.08,21999.996,18067.089,10.187,3932.907,12532951.892,5291.57,4372.563,4270.709,1078.718,1085.9,1435.954,0.911,2.425,4257.762,332.295,4.144,4.463,665.245,26.542,16.65,17.819,-0.845,0.06,0.428,19,40,0.001057,thrq48,3.62162209e-05,1.0204767e-05,0.281773388,
611,2,29,15.0,1.12,22000.006,18046.492,10.236,3953.514,12638348.284,5316.824,4362.877,4260.791,1117.571,1125.654,1466.247,0.912,2.439,4246.507,348.594,4.359,4.693,651.483,28.15,16.864,18.04,-0.847,0.057,0.421,19,40,0.0006274,thrq48,2.26034572e-05,6.45586897e-06,0.285614222,
632,2,30,15.0,1.16,22000.011,18028.545,10.293,3971.466,12766139.933,5342.161,4352.551,4250.217,1157.047,1162.248,1494.525,0.914,2.46,4235.385,354.776,4.553,4.788,636.372,29.14,16.972,17.773,-0.84,0.042,0.413,19,40,0.0002775,thrq48,1.41453102e-05,4.82136056e-06,0.340845168,
653,2,31,15.0,1.2,22000.008,18004.725,10.331,3995.283,12843156.121,5367.07,4343.871,4241.328,1194.545,1203.749,1527.022,0.914,2.467,4224.399,378.569,4.76,5.121,624.982,31.204,17.152,18.33,-0.822,0.101,0.409,19,40,9.531e-05,thrq48,8.10240181e-06,4.59736066e-06,0.567407131,
674,2,32,15.0,1.24,22000.0,17967.96,10.322,4032.04,12794041.458,5389.934,4338.068,4235.384,1236.391,1257.3,1569.582,0.912,2.443,4212.395,440.688,5.287,5.972,621.659,35.332,18.408,20.518,-0.845,0.324,0.417,19,40,7.953e-06,thrq48,3.81699465e-06,6.07625134e-06,1.59189415,
695,2,33,15.0,1.28,22000.0,17863.823,10.379,4136.177,12860300.061,5474.327,4394.139,4292.797,1276.916,1316.814,1617.648,0.911,2.42,4261.927,513.892,5.725,6.875,630.616,39.177,19.595,22.97,-0.977,0.133,0.431,19,40,2.522e-06,thrq48,1.41641272e-06,7.78336107e-06,5.49512243,
716,2,34,15.0,1.32,22000.0,17892.061,10.432,4107.939,13014106.802,5467.108,4353.392,4251.079,1304.367,1332.151,1630.157,0.914,2.461,4224.017,478.906,5.61,6.468,606.199,38.309,18.579,21.069,-0.975,0.221,0.412,19,40,6.099e-07,thrq48,1.04380103e-06,7.40065116e-06,7.09009743,
737,2,35,15.0,1.36,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
758,2,36,15.0,1.4,22000.0,17818.806,10.483,4181.194,13085652.218,5528.837,4338.783,4236.117,1398.789,1438.336,1718.021,0.913,2.449,4200.152,550.825,6.329,7.471,586.713,43.193,19.5,22.517,-0.665,0.747,0.414,19,40,1.451e-06,thrq48,1.00066302e-07,7.42913471e-06,74.2421265,
779,2,37,15.0,1.44,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
800,2,38,15.0,1.48,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
821,2,39,15.0,1.52,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
842,2,40,15.0,1.56,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
24,3,1,25.0,0.0,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
45,3,2,25.0,0.04,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
66,3,3,25.0,0.08,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
87,3,4,25.0,0.12,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
108,3,5,25.0,0.16,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
129,3,6,25.0,0.2,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
150,3,7,25.0,0.24,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
171,3,8,25.0,0.28,0.0,0.0,0.0,-0.511,0.0,0.511,938.272,0.0,0.0,0.0,939.566,0.0,1.0,0.255,0.0,0.0,0.0,-0.0,180.0,0.0,-1.0,0.0,0.0,1.0,19,40,0.0,thrq48,-1.0,-1.0,1.0,
