# kinematics output from calc_kin.py,,,,,,,,,,,,,
#\  = ,,,,,,,,,,,,,
E_inc, E_f,Q2, x_bj, p_r, th_e, th_q, q_lab, omega, p_f, th_p, th_pq, th_nq ,
14.0,6.768,9.500,0.700,1.300,18.219,15.614,7.862,7.232,7.445,24.846,9.232,66.752, 
14.0,7.672,9.500,0.800,1.300,17.103,18.696,7.039,6.328,6.533,28.827,10.131,62.117, 
14.0,8.375,9.500,0.900,1.300,16.365,21.585,6.414,5.625,5.821,32.451,10.866,57.579, 
14.0,8.938,9.500,1.000,1.300,15.838,24.302,5.927,5.062,5.251,35.725,11.423,53.128, 
14.0,9.398,9.500,1.100,1.300,15.443,26.857,5.539,4.602,4.783,38.649,11.791,48.745, 
14.0,9.781,9.500,1.200,1.300,15.135,29.262,5.225,4.219,4.391,41.217,11.955,44.405, 
14.0,10.106,9.500,1.300,1.300,14.889,31.523,4.966,3.894,4.059,43.422,11.899,40.073, 
14.0,10.384,9.500,1.400,1.300,14.687,33.648,4.751,3.616,3.773,45.248,11.600,35.700, 
14.0,10.625,9.500,1.500,1.300,14.518,35.645,4.571,3.375,3.524,46.668,11.023,31.216, 
14.0,10.836,9.500,1.600,1.300,14.376,37.522,4.417,3.164,3.305,47.631,10.109,26.503, 
