# kinematics output from calc_kin.py,,,,,,,,,,,,,
#\  = ,,,,,,,,,,,,,
E_inc, E_f,Q2, x_bj, p_r, th_e, th_q, q_lab, omega, p_f, th_p, th_pq, th_nq ,
22.0,14.768,9.500,0.700,1.300,9.809,18.666,7.862,7.232,7.445,27.898,9.232,66.752, 
22.0,15.672,9.500,0.800,1.300,9.522,21.611,7.039,6.328,6.533,31.742,10.131,62.117, 
22.0,16.375,9.500,0.900,1.300,9.315,24.407,6.414,5.625,5.821,35.272,10.866,57.579, 
22.0,16.938,9.500,1.000,1.300,9.158,27.054,5.927,5.062,5.251,38.478,11.423,53.128, 
22.0,17.398,9.500,1.100,1.300,9.036,29.558,5.539,4.602,4.783,41.349,11.791,48.745, 
22.0,17.781,9.500,1.200,1.300,8.938,31.921,5.225,4.219,4.391,43.876,11.955,44.405, 
22.0,18.106,9.500,1.300,1.300,8.857,34.148,4.966,3.894,4.059,46.047,11.899,40.073, 
22.0,18.384,9.500,1.400,1.300,8.790,36.245,4.751,3.616,3.773,47.845,11.600,35.700, 
22.0,18.625,9.500,1.500,1.300,8.733,38.219,4.571,3.375,3.524,49.242,11.023,31.216, 
22.0,18.836,9.500,1.600,1.300,8.684,40.076,4.417,3.164,3.305,50.185,10.109,26.503, 
