# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04           0             0
      2         2          0.06      0.04      0.08           0             0
      3         3           0.1      0.08      0.12           0             0
      4         4          0.14      0.12      0.16           0             0
      5         5          0.18      0.16       0.2           0             0
      6         6          0.22       0.2      0.24           0             0
      7         7          0.26      0.24      0.28           0             0
      8         8           0.3      0.28      0.32           0             0
      9         9          0.34      0.32      0.36           0             0
     10        10          0.38      0.36       0.4           0             0
     11        11          0.42       0.4      0.44           0             0
     12        12          0.46      0.44      0.48    0.107983    0.00776164
     13        13           0.5      0.48      0.52     0.96276     0.0208084
     14        14          0.54      0.52      0.56     3.09799     0.0332124
     15        15          0.58      0.56       0.6     5.78797      0.040321
     16        16          0.62       0.6      0.64     8.28365     0.0433991
     17        17          0.66      0.64      0.68     10.0161     0.0435709
     18        18           0.7      0.68      0.72     10.9609     0.0421916
     19        19          0.74      0.72      0.76     11.0571     0.0393089
     20        20          0.78      0.76       0.8     10.6855     0.0363111
     21        21          0.82       0.8      0.84     9.86505      0.032864
     22        22          0.86      0.84      0.88     8.88745      0.030023
     23        23           0.9      0.88      0.92      7.6096     0.0268554
     24        24          0.94      0.92      0.96     6.45287     0.0246359
     25        25          0.98      0.96         1     5.34218     0.0231471
     26        26          1.02         1      1.04     4.42304     0.0224743
     27        27          1.06      1.04      1.08     3.69309     0.0219311
     28        28           1.1      1.08      1.12     3.11864     0.0219801
     29        29          1.14      1.12      1.16      2.6564     0.0216274
     30        30          1.18      1.16       1.2     2.38087      0.022642
