# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04           0             0
      2         2          0.06      0.04      0.08           0             0
      3         3           0.1      0.08      0.12           0             0
      4         4          0.14      0.12      0.16           0             0
      5         5          0.18      0.16       0.2           0             0
      6         6          0.22       0.2      0.24           0             0
      7         7          0.26      0.24      0.28           0             0
      8         8           0.3      0.28      0.32           0             0
      9         9          0.34      0.32      0.36           0             0
     10        10          0.38      0.36       0.4    0.028938    0.00611304
     11        11          0.42       0.4      0.44    0.945342     0.0305844
     12        12          0.46      0.44      0.48     4.08852     0.0549546
     13        13           0.5      0.48      0.52     8.97995     0.0717749
     14        14          0.54      0.52      0.56     13.7324     0.0794899
     15        15          0.58      0.56       0.6     17.8736     0.0826296
     16        16          0.62       0.6      0.64     20.1694     0.0808995
     17        17          0.66      0.64      0.68     21.0663      0.077262
     18        18           0.7      0.68      0.72     20.8745     0.0722027
     19        19          0.74      0.72      0.76     19.6684     0.0660804
     20        20          0.78      0.76       0.8     17.9925     0.0596412
     21        21          0.82       0.8      0.84     15.8221     0.0537819
     22        22          0.86      0.84      0.88     13.6359     0.0488767
     23        23           0.9      0.88      0.92     11.3355     0.0442456
     24        24          0.94      0.92      0.96     9.44991     0.0425953
     25        25          0.98      0.96         1     7.77498     0.0405457
     26        26          1.02         1      1.04     6.48314     0.0394328
     27        27          1.06      1.04      1.08     5.46954     0.0391867
     28        28           1.1      1.08      1.12     4.76043     0.0385622
     29        29          1.14      1.12      1.16     4.24764      0.039475
     30        30          1.18      1.16       1.2      3.8486     0.0400034
