# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04           0             0
      2         2          0.06      0.04      0.08           0             0
      3         3           0.1      0.08      0.12           0             0
      4         4          0.14      0.12      0.16           0             0
      5         5          0.18      0.16       0.2           0             0
      6         6          0.22       0.2      0.24           0             0
      7         7          0.26      0.24      0.28           0             0
      8         8           0.3      0.28      0.32           0             0
      9         9          0.34      0.32      0.36           0             0
     10        10          0.38      0.36       0.4           0             0
     11        11          0.42       0.4      0.44           0             0
     12        12          0.46      0.44      0.48           0             0
     13        13           0.5      0.48      0.52   0.0027029   0.000911718
     14        14          0.54      0.52      0.56    0.145605    0.00600962
     15        15          0.58      0.56       0.6    0.855354     0.0130613
     16        16          0.62       0.6      0.64     2.13141     0.0183723
     17        17          0.66      0.64      0.68     3.46245      0.020834
     18        18           0.7      0.68      0.72     4.64883     0.0217289
     19        19          0.74      0.72      0.76     5.38973     0.0213029
     20        20          0.78      0.76       0.8     5.65622     0.0200117
     21        21          0.82       0.8      0.84     5.51617     0.0184263
     22        22          0.86      0.84      0.88     5.14562     0.0167323
     23        23           0.9      0.88      0.92     4.64087     0.0151788
     24        24          0.94      0.92      0.96     4.05476     0.0137683
     25        25          0.98      0.96         1     3.46528     0.0126513
     26        26          1.02         1      1.04     2.88718     0.0118152
     27        27          1.06      1.04      1.08      2.3869     0.0113378
     28        28           1.1      1.08      1.12     1.99347     0.0112098
     29        29          1.14      1.12      1.16     1.67155     0.0114609
     30        30          1.18      1.16       1.2     1.45175     0.0116748
