# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 60   | xlabel: HMS Delta [%%] 
# xbin width = 0.500 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1        -14.75       -15     -14.5           0             0
      2         2        -14.25     -14.5       -14  0.00290544    0.00246532
      3         3        -13.75       -14     -13.5     1.29158       0.26984
      4         4        -13.25     -13.5       -13     3.91007      0.519372
      5         5        -12.75       -13     -12.5     12.7998       1.53048
      6         6        -12.25     -12.5       -12     23.5167       1.98624
      7         7        -11.75       -12     -11.5      38.498       2.72826
      8         8        -11.25     -11.5       -11     71.4695       4.87887
      9         9        -10.75       -11     -10.5     93.4892       5.20345
     10        10        -10.25     -10.5       -10     165.125       8.75784
     11        11         -9.75       -10      -9.5     254.581       12.6679
     12        12         -9.25      -9.5        -9     383.353       16.0925
     13        13         -8.75        -9      -8.5     577.046       20.9143
     14        14         -8.25      -8.5        -8      758.28       26.4086
     15        15         -7.75        -8      -7.5     945.598        33.546
     16        16         -7.25      -7.5        -7     1142.11        40.794
     17        17         -6.75        -7      -6.5     1401.84       47.3602
     18        18         -6.25      -6.5        -6     1740.66       60.5458
     19        19         -5.75        -6      -5.5     1873.42       64.3455
     20        20         -5.25      -5.5        -5     1922.09       63.0915
     21        21         -4.75        -5      -4.5      2105.3       69.1857
     22        22         -4.25      -4.5        -4     2186.05       75.8044
     23        23         -3.75        -4      -3.5     2271.75       78.2935
     24        24         -3.25      -3.5        -3     2200.66       74.7346
     25        25         -2.75        -3      -2.5     2177.08       72.5308
     26        26         -2.25      -2.5        -2     1902.58       62.8049
     27        27         -1.75        -2      -1.5     1722.05       58.6083
     28        28         -1.25      -1.5        -1     1583.01       52.7399
     29        29         -0.75        -1      -0.5     1337.72       44.0452
     30        30         -0.25      -0.5         0     1043.29       34.0849
     31        31          0.25         0       0.5     930.119       28.8781
     32        32          0.75       0.5         1     749.559       24.2145
     33        33          1.25         1       1.5     620.279       20.5492
     34        34          1.75       1.5         2     491.384       15.8557
     35        35          2.25         2       2.5     391.091       12.4372
     36        36          2.75       2.5         3     320.781       10.7124
     37        37          3.25         3       3.5     236.765       8.32177
     38        38          3.75       3.5         4     179.805       6.30608
     39        39          4.25         4       4.5     124.946       4.46699
     40        40          4.75       4.5         5     93.2103       3.32675
     41        41          5.25         5       5.5     67.2685       2.26391
     42        42          5.75       5.5         6     48.8476         1.595
     43        43          6.25         6       6.5     36.9053       1.13445
     44        44          6.75       6.5         7     26.5911      0.620212
     45        45          7.25         7       7.5      20.588      0.447256
     46        46          7.75       7.5         8     15.9791      0.297997
     47        47          8.25         8       8.5     12.3724      0.197746
     48        48          8.75       8.5         9     10.1962      0.147759
     49        49          9.25         9       9.5     8.39944      0.106094
     50        50          9.75       9.5        10     6.80423     0.0797628
     51        51         10.25        10      10.5      5.7743     0.0651209
     52        52         10.75      10.5        11     4.89538     0.0555677
     53        53         11.25        11      11.5     4.03363     0.0456064
     54        54         11.75      11.5        12     3.34231     0.0389049
     55        55         12.25        12      12.5     2.49467     0.0309674
     56        56         12.75      12.5        13     1.65951     0.0239733
     57        57         13.25        13      13.5     1.07809     0.0182685
     58        58         13.75      13.5        14    0.628809     0.0132573
     59        59         14.25        14      14.5    0.295516    0.00889133
     60        60         14.75      14.5        15    0.101254    0.00503147
