# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04           0             0
      2         2          0.06      0.04      0.08           0             0
      3         3           0.1      0.08      0.12           0             0
      4         4          0.14      0.12      0.16           0             0
      5         5          0.18      0.16       0.2           0             0
      6         6          0.22       0.2      0.24           0             0
      7         7          0.26      0.24      0.28           0             0
      8         8           0.3      0.28      0.32           0             0
      9         9          0.34      0.32      0.36           0             0
     10        10          0.38      0.36       0.4           0             0
     11        11          0.42       0.4      0.44           0             0
     12        12          0.46      0.44      0.48           0             0
     13        13           0.5      0.48      0.52           0             0
     14        14          0.54      0.52      0.56           0             0
     15        15          0.58      0.56       0.6   0.0136188    0.00123984
     16        16          0.62       0.6      0.64    0.156021    0.00373105
     17        17          0.66      0.64      0.68     0.50047    0.00588469
     18        18           0.7      0.68      0.72    0.905902    0.00685454
     19        19          0.74      0.72      0.76     1.19003    0.00676452
     20        20          0.78      0.76       0.8     1.31575    0.00610774
     21        21          0.82       0.8      0.84     1.27112    0.00512292
     22        22          0.86      0.84      0.88     1.11806    0.00408823
     23        23           0.9      0.88      0.92     0.89347    0.00309503
     24        24          0.94      0.92      0.96    0.670768    0.00226876
     25        25          0.98      0.96         1    0.468461    0.00159602
     26        26          1.02         1      1.04    0.312417    0.00110169
     27        27          1.06      1.04      1.08    0.197655   0.000734105
     28        28           1.1      1.08      1.12    0.118813   0.000473003
     29        29          1.14      1.12      1.16   0.0691518   0.000299912
     30        30          1.18      1.16       1.2   0.0371588   0.000185676
