# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 40   | xlabel: Missing Energy, Em [GeV] 
# xbin width = 0.008 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1      -0.09625      -0.1   -0.0925      1.6506      0.669878
      2         2      -0.08875   -0.0925    -0.085     3.19575       1.71456
      3         3      -0.08125    -0.085   -0.0775     2.72279       1.56498
      4         4      -0.07375   -0.0775     -0.07     3.06622       1.41352
      5         5      -0.06625     -0.07   -0.0625     4.94869       1.81911
      6         6      -0.05875   -0.0625    -0.055     5.45539       1.80296
      7         7      -0.05125    -0.055   -0.0475     6.69736       2.12197
      8         8      -0.04375   -0.0475     -0.04     4.78105       2.01491
      9         9      -0.03625     -0.04   -0.0325     12.1936       4.62875
     10        10      -0.02875   -0.0325    -0.025     4.70573        1.8006
     11        11      -0.02125    -0.025   -0.0175      18.939       8.41317
     12        12      -0.01375   -0.0175     -0.01     42.5698        6.9675
     13        13      -0.00625     -0.01   -0.0025     1530.11       54.7476
     14        14       0.00125   -0.0025     0.005     8288.13       124.706
     15        15       0.00875     0.005    0.0125     10062.6       136.337
     16        16       0.01625    0.0125      0.02     6355.66       108.537
     17        17       0.02375      0.02    0.0275     3395.17       81.8324
     18        18       0.03125    0.0275     0.035     1531.98       55.6285
     19        19       0.03875     0.035    0.0425     1013.64       43.4601
     20        20       0.04625    0.0425      0.05     775.439       35.0062
     21        21       0.05375      0.05    0.0575     598.959       28.8035
     22        22       0.06125    0.0575     0.065     554.197       29.8051
     23        23       0.06875     0.065    0.0725      500.71       29.2275
     24        24       0.07625    0.0725      0.08     428.596       27.5453
     25        25       0.08375      0.08    0.0875     371.128       23.5431
     26        26       0.09125    0.0875     0.095     399.765       28.5408
     27        27       0.09875     0.095    0.1025     318.684       22.9896
     28        28       0.10625    0.1025      0.11     306.997       21.4825
     29        29       0.11375      0.11    0.1175      361.82       28.8921
     30        30       0.12125    0.1175     0.125     273.792       20.6641
     31        31       0.12875     0.125    0.1325     298.164       23.7458
     32        32       0.13625    0.1325      0.14     248.085       18.3138
     33        33       0.14375      0.14    0.1475     272.798        21.547
     34        34       0.15125    0.1475     0.155     234.045       17.1248
     35        35       0.15875     0.155    0.1625     239.674       21.2926
     36        36       0.16625    0.1625      0.17     211.776       19.1919
     37        37       0.17375      0.17    0.1775     200.711       15.6423
     38        38       0.18125    0.1775     0.185     189.541        16.882
     39        39       0.18875     0.185    0.1925     183.505       18.0808
     40        40       0.19625    0.1925       0.2     200.285       21.5068
