# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04     24795.2       437.403
      2         2          0.06      0.04      0.08     64365.8       521.399
      3         3           0.1      0.08      0.12     43737.5       323.557
      4         4          0.14      0.12      0.16     22555.5       205.013
      5         5          0.18      0.16       0.2     13414.5        166.77
      6         6          0.22       0.2      0.24     9555.23       153.185
      7         7          0.26      0.24      0.28     7290.79       138.092
      8         8           0.3      0.28      0.32     6010.66       127.667
      9         9          0.34      0.32      0.36     5234.13       126.836
     10        10          0.38      0.36       0.4     4463.84        119.55
     11        11          0.42       0.4      0.44     3724.15       106.075
     12        12          0.46      0.44      0.48     3171.81       94.7601
     13        13           0.5      0.48      0.52     2721.29       91.0265
     14        14          0.54      0.52      0.56     2289.37       79.8504
     15        15          0.58      0.56       0.6     2226.97       91.4269
     16        16          0.62       0.6      0.64     1821.08       77.5714
     17        17          0.66      0.64      0.68     1713.42       78.7173
     18        18           0.7      0.68      0.72     1516.73       67.2631
     19        19          0.74      0.72      0.76     1470.71       73.2267
     20        20          0.78      0.76       0.8      1374.6       70.8397
     21        21          0.82       0.8      0.84     1297.63       72.1043
     22        22          0.86      0.84      0.88     1059.85       57.5436
     23        23           0.9      0.88      0.92     1102.14       61.5178
     24        24          0.94      0.92      0.96     1056.89       66.5658
     25        25          0.98      0.96         1     931.406       56.4507
     26        26          1.02         1      1.04     838.758       55.3129
     27        27          1.06      1.04      1.08     923.537       58.2279
     28        28           1.1      1.08      1.12     689.133       46.6762
     29        29          1.14      1.12      1.16     737.694       51.2559
     30        30          1.18      1.16       1.2     695.881       51.3436
