# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 40   | xlabel: Recoil Angle q relative to +z (lab), th_q [deg] 
# xbin width = 2.250 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1         1.125         0      2.25           0             0
      2         2         3.375      2.25       4.5           0             0
      3         3         5.625       4.5      6.75           0             0
      4         4         7.875      6.75         9           0             0
      5         5        10.125         9     11.25           0             0
      6         6        12.375     11.25      13.5           0             0
      7         7        14.625      13.5     15.75           0             0
      8         8        16.875     15.75        18           0             0
      9         9        19.125        18     20.25           0             0
     10        10        21.375     20.25      22.5           0             0
     11        11        23.625      22.5     24.75           0             0
     12        12        25.875     24.75        27           0             0
     13        13        28.125        27     29.25           0             0
     14        14        30.375     29.25      31.5           0             0
     15        15        32.625      31.5     33.75           0             0
     16        16        34.875     33.75        36           0             0
     17        17        37.125        36     38.25           0             0
     18        18        39.375     38.25      40.5           0             0
     19        19        41.625      40.5     42.75           0             0
     20        20        43.875     42.75        45           0             0
     21        21        46.125        45     47.25           0             0
     22        22        48.375     47.25      49.5           0             0
     23        23        50.625      49.5     51.75           0             0
     24        24        52.875     51.75        54           0             0
     25        25        55.125        54     56.25           0             0
     26        26        57.375     56.25      58.5           0             0
     27        27        59.625      58.5     60.75   0.0243203     0.0034413
     28        28        61.875     60.75        63     1.43539     0.0265465
     29        29        64.125        63     65.25     9.18707     0.0650848
     30        30        66.375     65.25      67.5     23.7098     0.0961916
     31        31        68.625      67.5     69.75     39.5194      0.114502
     32        32        70.875     69.75        72     47.9459      0.116262
     33        33        73.125        72     74.25     44.7719      0.103176
     34        34        75.375     74.25      76.5      34.047     0.0875644
     35        35        77.625      76.5     78.75     22.6516     0.0803871
     36        36        79.875     78.75        81     16.1883     0.0850411
     37        37        82.125        81     83.25     14.1712     0.0963683
     38        38        84.375     83.25      85.5     14.3356      0.109842
     39        39        86.625      85.5     87.75     15.2771      0.125603
     40        40        88.875     87.75        90     14.9492      0.130757
