# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 40   | xlabel: Missing Energy, Em [GeV] 
# xbin width = 0.008 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1      -0.09625      -0.1   -0.0925    0.099752    0.00559018
      2         2      -0.08875   -0.0925    -0.085    0.121943    0.00640687
      3         3      -0.08125    -0.085   -0.0775     0.14044    0.00680603
      4         4      -0.07375   -0.0775     -0.07    0.158148    0.00718553
      5         5      -0.06625     -0.07   -0.0625    0.193605    0.00787318
      6         6      -0.05875   -0.0625    -0.055    0.244151    0.00887454
      7         7      -0.05125    -0.055   -0.0475    0.262627       0.00888
      8         8      -0.04375   -0.0475     -0.04    0.320715    0.00981675
      9         9      -0.03625     -0.04   -0.0325     0.37852     0.0108186
     10        10      -0.02875   -0.0325    -0.025    0.453743     0.0117588
     11        11      -0.02125    -0.025   -0.0175    0.493635     0.0121271
     12        12      -0.01375   -0.0175     -0.01    0.794743     0.0144557
     13        13      -0.00625     -0.01   -0.0025     5.81466     0.0378431
     14        14       0.00125   -0.0025     0.005     45.5559      0.104435
     15        15       0.00875     0.005    0.0125     59.9324      0.123289
     16        16       0.01625    0.0125      0.02     23.6636      0.081486
     17        17       0.02375      0.02    0.0275     10.0734     0.0528169
     18        18       0.03125    0.0275     0.035     6.92042     0.0427999
     19        19       0.03875     0.035    0.0425     5.76949     0.0391437
     20        20       0.04625    0.0425      0.05     5.14001     0.0370894
     21        21       0.05375      0.05    0.0575      4.7549     0.0352806
     22        22       0.06125    0.0575     0.065     4.46189     0.0343848
     23        23       0.06875     0.065    0.0725     4.19297     0.0333657
     24        24       0.07625    0.0725      0.08     3.94072     0.0325466
     25        25       0.08375      0.08    0.0875     3.83648     0.0325557
     26        26       0.09125    0.0875     0.095     3.74026     0.0323308
     27        27       0.09875     0.095    0.1025      3.5883     0.0316108
     28        28       0.10625    0.1025      0.11     3.43243     0.0308963
     29        29       0.11375      0.11    0.1175     3.28487     0.0307537
     30        30       0.12125    0.1175     0.125     3.15346      0.030247
     31        31       0.12875     0.125    0.1325     3.01552     0.0297091
     32        32       0.13625    0.1325      0.14     2.93521     0.0299295
     33        33       0.14375      0.14    0.1475     2.85199     0.0294385
     34        34       0.15125    0.1475     0.155     2.75023     0.0296082
     35        35       0.15875     0.155    0.1625     2.69218     0.0298246
     36        36       0.16625    0.1625      0.17     2.63831     0.0296976
     37        37       0.17375      0.17    0.1775      2.6706     0.0307919
     38        38       0.18125    0.1775     0.185     2.56992     0.0299539
     39        39       0.18875     0.185    0.1925     2.60891     0.0310602
     40        40       0.19625    0.1925       0.2     2.51903     0.0307436
