# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 70   | xlabel: Final Electron Momentum, kf, [GeV] 
# xbin width = 0.029 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1       8.01429         8   8.02857     2.15473      0.045739
      2         2       8.04286   8.02857   8.05714     2.08428     0.0414961
      3         3       8.07143   8.05714   8.08571     2.17364     0.0420723
      4         4           8.1   8.08571   8.11429     2.06657     0.0388987
      5         5       8.12857   8.11429   8.14286     2.12406     0.0401971
      6         6       8.15714   8.14286   8.17143     2.19931     0.0405192
      7         7       8.18571   8.17143       8.2     2.21073     0.0389941
      8         8       8.21429       8.2   8.22857     2.18786     0.0384613
      9         9       8.24286   8.22857   8.25714     2.17987     0.0365471
     10        10       8.27143   8.25714   8.28571     2.28106     0.0380889
     11        11           8.3   8.28571   8.31429     2.28632     0.0362434
     12        12       8.32857   8.31429   8.34286      2.3094     0.0355285
     13        13       8.35714   8.34286   8.37143     2.36933     0.0343684
     14        14       8.38571   8.37143       8.4     2.54342     0.0349441
     15        15       8.41429       8.4   8.42857     2.71135      0.035745
     16        16       8.44286   8.42857   8.45714      2.8452     0.0345194
     17        17       8.47143   8.45714   8.48571     3.04499     0.0329962
     18        18           8.5   8.48571   8.51429     3.33071     0.0332954
     19        19       8.52857   8.51429   8.54286     3.64879     0.0330664
     20        20       8.55714   8.54286   8.57143      4.0437     0.0334785
     21        21       8.58571   8.57143       8.6     4.55875       0.03359
     22        22       8.61429       8.6   8.62857     5.08541     0.0338862
     23        23       8.64286   8.62857   8.65714     5.80339     0.0354728
     24        24       8.67143   8.65714   8.68571     6.55132     0.0368265
     25        25           8.7   8.68571   8.71429     7.32226     0.0381247
     26        26       8.72857   8.71429   8.74286     8.09997     0.0395331
     27        27       8.75714   8.74286   8.77143     9.04124     0.0425847
     28        28       8.78571   8.77143       8.8     9.70377     0.0455066
     29        29       8.81429       8.8   8.82857     10.4335     0.0481325
     30        30       8.84286   8.82857   8.85714      11.063       0.05136
     31        31       8.87143   8.85714   8.88571     11.5204     0.0541266
     32        32           8.9   8.88571   8.91429     11.7975     0.0559998
     33        33       8.92857   8.91429   8.94286     12.1173      0.058102
     34        34       8.95714   8.94286   8.97143     11.9707     0.0588455
     35        35       8.98571   8.97143         9     12.1089     0.0607507
     36        36       9.01429         9   9.02857     11.8433     0.0613644
     37        37       9.04286   9.02857   9.05714     11.6238     0.0624111
     38        38       9.07143   9.05714   9.08571     10.8714     0.0611094
     39        39           9.1   9.08571   9.11429     10.1522     0.0605881
     40        40       9.12857   9.11429   9.14286     8.92438     0.0578367
     41        41       9.15714   9.14286   9.17143     7.81617     0.0558668
     42        42       9.18571   9.17143       9.2     6.14759     0.0516936
     43        43       9.21429       9.2   9.22857     4.23266     0.0455244
     44        44       9.24286   9.22857   9.25714     2.34683     0.0354365
     45        45       9.27143   9.25714   9.28571    0.872215     0.0228097
     46        46           9.3   9.28571   9.31429     0.17337     0.0106988
     47        47       9.32857   9.31429   9.34286  0.00617162    0.00239884
     48        48       9.35714   9.34286   9.37143           0             0
     49        49       9.38571   9.37143       9.4           0             0
     50        50       9.41429       9.4   9.42857           0             0
     51        51       9.44286   9.42857   9.45714           0             0
     52        52       9.47143   9.45714   9.48571           0             0
     53        53           9.5   9.48571   9.51429           0             0
     54        54       9.52857   9.51429   9.54286           0             0
     55        55       9.55714   9.54286   9.57143           0             0
     56        56       9.58571   9.57143       9.6           0             0
     57        57       9.61429       9.6   9.62857           0             0
     58        58       9.64286   9.62857   9.65714           0             0
     59        59       9.67143   9.65714   9.68571           0             0
     60        60           9.7   9.68571   9.71429           0             0
     61        61       9.72857   9.71429   9.74286           0             0
     62        62       9.75714   9.74286   9.77143           0             0
     63        63       9.78571   9.77143       9.8           0             0
     64        64       9.81429       9.8   9.82857           0             0
     65        65       9.84286   9.82857   9.85714           0             0
     66        66       9.87143   9.85714   9.88571           0             0
     67        67           9.9   9.88571   9.91429           0             0
     68        68       9.92857   9.91429   9.94286           0             0
     69        69       9.95714   9.94286   9.97143           0             0
     70        70       9.98571   9.97143        10           0             0
