# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04           0             0
      2         2          0.06      0.04      0.08           0             0
      3         3           0.1      0.08      0.12           0             0
      4         4          0.14      0.12      0.16           0             0
      5         5          0.18      0.16       0.2           0             0
      6         6          0.22       0.2      0.24           0             0
      7         7          0.26      0.24      0.28           0             0
      8         8           0.3      0.28      0.32           0             0
      9         9          0.34      0.32      0.36           0             0
     10        10          0.38      0.36       0.4           0             0
     11        11          0.42       0.4      0.44           0             0
     12        12          0.46      0.44      0.48           0             0
     13        13           0.5      0.48      0.52           0             0
     14        14          0.54      0.52      0.56           0             0
     15        15          0.58      0.56       0.6           0             0
     16        16          0.62       0.6      0.64           0             0
     17        17          0.66      0.64      0.68  0.00947563   0.000680763
     18        18           0.7      0.68      0.72   0.0836642     0.0017886
     19        19          0.74      0.72      0.76    0.231699    0.00257856
     20        20          0.78      0.76       0.8    0.395921    0.00288726
     21        21          0.82       0.8      0.84    0.508028    0.00278769
     22        22          0.86      0.84      0.88    0.549317    0.00245107
     23        23           0.9      0.88      0.92     0.52013    0.00200426
     24        24          0.94      0.92      0.96    0.447251    0.00155725
     25        25          0.98      0.96         1    0.354122    0.00115265
     26        26          1.02         1      1.04    0.259513   0.000817688
     27        27          1.06      1.04      1.08    0.180561   0.000565127
     28        28           1.1      1.08      1.12    0.117746   0.000376568
     29        29          1.14      1.12      1.16   0.0735622    0.00024463
     30        30          1.18      1.16       1.2   0.0419599   0.000154406
