# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 30   | xlabel: Missing Momentum, Pm [GeV/c] 
# xbin width = 0.040 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1          0.02         0      0.04           0             0
      2         2          0.06      0.04      0.08           0             0
      3         3           0.1      0.08      0.12           0             0
      4         4          0.14      0.12      0.16           0             0
      5         5          0.18      0.16       0.2           0             0
      6         6          0.22       0.2      0.24           0             0
      7         7          0.26      0.24      0.28           0             0
      8         8           0.3      0.28      0.32           0             0
      9         9          0.34      0.32      0.36           0             0
     10        10          0.38      0.36       0.4           0             0
     11        11          0.42       0.4      0.44           0             0
     12        12          0.46      0.44      0.48           0             0
     13        13           0.5      0.48      0.52   0.0157129    0.00192086
     14        14          0.54      0.52      0.56    0.266669    0.00708785
     15        15          0.58      0.56       0.6    0.961954       0.01188
     16        16          0.62       0.6      0.64     1.85853     0.0144216
     17        17          0.66      0.64      0.68     2.55155     0.0147012
     18        18           0.7      0.68      0.72     2.91349      0.013654
     19        19          0.74      0.72      0.76     2.88685     0.0117177
     20        20          0.78      0.76       0.8      2.5623    0.00954468
     21        21          0.82       0.8      0.84     2.06091    0.00735729
     22        22          0.86      0.84      0.88     1.54752    0.00551529
     23        23           0.9      0.88      0.92     1.08524    0.00397434
     24        24          0.94      0.92      0.96    0.728314    0.00278654
     25        25          0.98      0.96         1    0.463706    0.00190069
     26        26          1.02         1      1.04    0.279783    0.00124544
     27        27          1.06      1.04      1.08    0.163843   0.000800382
     28        28           1.1      1.08      1.12   0.0908238   0.000498736
     29        29          1.14      1.12      1.16   0.0482592   0.000303116
     30        30          1.18      1.16       1.2   0.0236425   0.000178397
