# 1  # the knock-out nucleon is proton(1), neutron(-1)
# 1  # Off-Shell effects included (1) not included (0)
# 1  # only pole term in FSI (0), pole+PV (1) 
# 1  # it calculates d\sigma/dE'_e d\Omega_e d\Omega_pf
# 12  # icon = 0 initialization, 1 - PWIA, 2 -forward rescattering, 3 - charge exchange rescattering 
#         12 - PWIA+FSI, 13 - PWIA+CHEX, 123 - PWIA+FSI+CHEX
# 10   #iv2  - version of parameterization of CHEX amplitude - 
#         10 - Gibbs-Loiseau (has only real part), 21 - SAID, 1021 - SAID+GL
#         10021 - SAID+GL (with Im part at p>p0 modelled using SAID's value
#         -21 SAID   - For details look at fpn_chex.f
# 3  # iv1  - version of FSI; 1- diagonal FSI using fpn.f, 2- diagonal FSI using f_NN_sd.f 
#         which uses SAID parameterization for plab<3.68, 3 - nondiagonal approximation 
#         using f_NN_sd.f. At p>1.4 it uses diffractive parametrization like fpn.f
# 0  # idd  - isd = 1 spectator mechanism, isd=2 direct mechanism isd =0 both   
# 2  # iw   - 1 - Paris 2 - V18 deuteron wave funcion, 3- cd Bonn, 4 - AV18sb
# 0  # ipp  - 1 - quasi "pp" wave functio - only S-parital wave, 0, both S and D waves
#    crs  - cross section in nb/GeV/str^2
thr0,phr0,pr,ei,omega,th_e,q2,x,plab,pf,crs0,crs12,ratio,ID,th_nq_mc,i_x,i_y,kin,
24.4759998,352.747986,0.610565007,10.5476999,1.67279434,13.1827288,4.93367004,1.57168543,1.35876334,2.23926902,0.0242834352,0.020372944,0.838964641,hrq4_5_16,24.476,5,16,thrq49,
23.9559994,349.420013,0.627499998,10.5490999,1.67462826,13.2438517,4.97974014,1.58462453,1.33330572,2.23115349,0.0207978226,0.0175335016,0.843045056,hrq4_5_17,23.925,5,17,thrq49,
28.9260006,351.890015,0.533143997,10.5446997,1.63520336,12.6808186,4.5831399,1.4935832,1.49245596,2.24213409,0.0555988997,0.0460808687,0.828809023,hrq4_6_14,28.909,6,14,thrq49,
28.4109993,349.420013,0.563180983,10.5462999,1.65260506,12.8367691,4.68846989,1.51181972,1.46718502,2.24459147,0.0412988886,0.0336537845,0.81488353,hrq4_6_15,28.383,6,15,thrq49,
28.1200008,346.167999,0.600143015,10.5472002,1.67919254,13.0331659,4.81886005,1.5292623,1.44775569,2.25232077,0.0285517275,0.0225532372,0.789907992,hrq4_6_16,28.075,6,16,thrq49,
28.5049992,344.57901,0.638316989,10.5461998,1.70247555,13.1803894,4.9138999,1.53809583,1.44286573,2.25478888,0.0201584548,0.0155244609,0.770121574,hrq4_6_17,28.471,6,17,thrq49,
29.2189999,341.261993,0.675957978,10.5466003,1.71560669,13.251195,4.95964003,1.54053128,1.44510031,2.24564314,0.0147757018,0.0110446149,0.747484982,hrq4_6_18,29.197,6,18,thrq49,
29.2220001,346.906006,0.712370992,10.5476999,1.72349262,13.3245859,5.01114988,1.54940915,1.43114746,2.23073339,0.0109802252,0.00788434595,0.718049586,hrq4_6_19,29.211,6,19,thrq49,
33.7050018,360.0,0.455978006,10.5514002,1.58493137,12.0999393,4.20376015,1.41340113,1.611287,2.22657323,0.136869609,0.119353667,0.872024596,hrq4_7_12,33.705,7,12,thrq49,
33.7709999,351.493988,0.484661996,10.5458002,1.60804844,12.2630033,4.30128002,1.4253999,1.60462105,2.23772216,0.100877002,0.0877654031,0.870023906,hrq4_7_13,33.721,7,13,thrq49,
33.2639999,346.167999,0.523168981,10.5466003,1.63590813,12.4757175,4.43805981,1.44568002,1.58466947,2.24819589,0.067632325,0.0576753244,0.852777481,hrq4_7_14,33.236,7,14,thrq49,
33.0719986,345.466003,0.562672019,10.5455999,1.66863346,12.6922779,4.57501984,1.46106696,1.57586837,2.2622366,0.0454950035,0.0379873291,0.834978044,hrq4_7_15,33.034,7,15,thrq49,
33.0730019,344.153992,0.600902975,10.5460997,1.69485664,12.8588905,4.6820302,1.47210622,1.57050884,2.26883769,0.0317408778,0.0256973449,0.80959779,hrq4_7_16,33.031,7,16,thrq49,
33.0820007,341.622986,0.640040994,10.5451002,1.7228632,13.0271235,4.78860998,1.48114204,1.56956398,2.27580619,0.0218373742,0.0171425678,0.785010517,hrq4_7_17,33.042,7,17,thrq49,
33.1910019,340.734985,0.678543985,10.5445995,1.74029255,13.1328506,4.8561902,1.48700154,1.56819963,2.2707386,0.0155932475,0.0118593173,0.760541856,hrq4_7_18,33.155,7,18,thrq49,
